episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
162,0,360,-394.2165,14.92,2.92,4017,0.328678,1.0,113.4,0,,0,0,8.55e-05
163,4,360,-1207.5927,7.44,7.21,2993,0.110623,0.1,145.6,1,SRC_HTM_E_N02,1,0,8.52e-05
164,4,360,-191.7936,34.71,2.4,699,0.125769,0.1,16.3,1,"SRC_PH_N03,SRC_NCT_S_N04,EXT_E_N03_in",3,0,8.5e-05
165,3,360,-492.3936,10.59,5.05,3450,0.083526,0.325,132.1,0,,0,0,8.47e-05
166,2,360,-699.9887,12.28,3.51,3545,0.150117,0.55,142.5,0,,0,0,8.45e-05
167,1,360,-337.2116,12.71,8.07,3953,0.144899,0.775,127.9,0,,0,0,8.42e-05
168,0,360,-586.2825,14.11,2.83,3488,0.11387,1.0,129.6,1,"EXT_S_N07_in,SRC_HTM_E_N02",2,0,8.4e-05
169,4,360,-509.2406,10.06,4.93,3437,0.140641,0.1,184.3,0,,0,0,8.37e-05
170,3,360,-1953.262,6.71,17.08,2828,0.15459,0.325,236.7,1,"SRC_LDT_N_N05,SRC_HN_N05",2,0,8.35e-05
171,2,360,-395.8832,10.86,3.36,3664,0.284673,0.55,208.9,0,,0,0,8.32e-05
172,1,360,-676.5813,11.92,9.63,3389,0.108045,0.775,199.3,1,"SRC_LDT_S_N05,SRC_NH_N05,SRC_NCT_N_N04",3,0,8.29e-05
173,1,360,-170.8711,34.17,4.98,807,0.08035,0.775,16.7,0,,0,0,8.27e-05
174,0,360,-628.2072,9.96,6.79,3833,0.156015,1.0,220.6,0,,0,0,8.24e-05
175,4,360,-562.8013,9.96,3.0,3407,0.068861,0.1,228.2,0,,0,0,8.21e-05
176,3,360,-362.7297,11.54,3.51,3633,0.124622,0.325,200.6,0,,0,0,8.19e-05
177,3,360,-170.8495,28.7,4.89,810,0.278703,0.325,17.0,0,,0,0,8.16e-05
178,0,360,-449.3843,13.17,7.75,3956,0.115997,1.0,192.1,0,,0,0,8.13e-05
179,1,360,-848.3966,9.14,4.2,2993,0.145688,0.775,211.1,1,"EXT_N_N02_in,SRC_PH_N03,SRC_HTM_E_N02",3,0,8.11e-05
180,2,360,-2088.6093,5.97,34.62,2852,0.084368,0.55,231.4,1,"SRC_HTM_E_N03,SRC_LDT_S_N05,SRC_NCT_N_N01",3,0,8.08e-05
181,4,360,-520.0908,7.19,6.85,3336,0.142584,0.1,217.1,0,,0,0,8.05e-05
182,3,360,-517.4958,9.39,7.19,3572,0.120195,0.325,214.7,0,,0,0,8.02e-05
183,0,360,-362.9054,14.98,4.21,4180,0.156127,1.0,183.4,0,,0,0,8e-05
184,1,360,-350.4313,13.65,2.33,3878,0.106487,0.775,192.8,1,SRC_NH_N05,1,0,7.97e-05
185,2,360,-628.9339,11.12,6.09,3769,0.123999,0.55,224.6,1,SRC_NH_N06,1,0,7.94e-05
186,1,360,-350.5794,12.38,3.42,3947,0.108615,0.775,190.2,0,,0,0,7.91e-05
187,0,360,-681.798,13.63,3.79,3671,0.178378,1.0,211.6,1,SRC_NCT_N_N04,1,0,7.88e-05
188,3,360,-898.2656,8.8,6.79,3138,0.079576,0.325,242.1,1,SRC_PH_N03,1,0,7.85e-05
189,4,360,-1617.0285,4.17,20.83,2511,0.132027,0.1,297.2,1,"SRC_PH_N03,SRC_HN_N04,SRC_LDT_S_N08",3,0,7.82e-05
190,2,360,-449.0602,12.58,2.91,3685,0.11748,0.55,200.6,0,,0,0,7.8e-05
191,1,360,-341.0592,15.67,5.72,4042,0.109412,0.775,187.3,0,,0,0,7.77e-05
192,0,360,-877.5808,10.26,5.65,3553,0.129061,1.0,204.6,1,"EXT_N_N01_in,SRC_NCT_N_N01",2,1,7.74e-05
193,3,360,-514.5215,11.81,2.55,3498,0.109087,0.325,206.6,0,,0,0,7.71e-05
194,4,360,-735.8726,8.94,2.7,3447,0.100104,0.1,217.8,0,,0,0,7.68e-05
195,2,360,-628.6272,12.27,5.05,3583,0.182501,0.55,222.1,0,,0,0,7.65e-05
196,1,360,-478.5237,12.31,5.29,3854,0.235268,0.775,196.8,0,,0,0,7.62e-05
197,0,360,-519.9531,14.69,3.82,4176,0.118233,1.0,186.9,0,,0,0,7.59e-05
