episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
210,151920,-148.0,32.58,0.0,2,0.110375,0.05,14.2
211,152640,-147.0,31.27,0.0,1,0.11019,0.05,14.1
212,153360,-15.0,34.31,0.0,0,0.112835,0.05,12.0
213,154080,-271.0,28.54,0.58,3,0.118283,0.05,15.4
214,154800,-275.0,28.62,1.17,1,0.120926,0.05,15.3
215,155520,-214.0,27.54,0.26,1,0.122193,0.05,15.5
216,156240,-244.0,24.18,1.92,2,0.122405,0.05,15.5
217,156960,-149.0,28.62,0.43,1,0.121275,0.05,14.3
218,157680,-244.0,25.55,2.32,3,0.123309,0.05,15.3
219,158400,-230.0,25.16,0.19,1,0.118639,0.05,15.5
220,159120,-250.0,31.56,0.08,0,0.117085,0.05,15.5
221,159840,-135.0,27.14,0.95,2,0.116782,0.05,14.2
222,160560,-261.0,25.89,0.96,1,0.112322,0.05,15.4
223,161280,-15.0,35.05,0.0,0,0.119122,0.05,11.7
224,162000,-285.0,31.04,0.96,1,0.116217,0.05,15.4
225,162720,-20.0,25.57,0.33,0,0.116211,0.05,11.8
226,163440,-235.0,26.62,0.43,3,0.117996,0.05,15.3
227,164160,-177.0,32.36,0.0,3,0.110584,0.05,14.1
228,164880,-226.0,29.27,0.93,1,0.112517,0.05,15.2
229,165600,-262.0,26.31,0.56,1,0.119455,0.05,15.5
230,166320,-241.0,24.24,3.55,0,0.124126,0.05,15.5
231,167040,-146.0,29.86,0.36,0,0.12035,0.05,14.2
232,167760,-296.0,32.59,0.12,2,0.117283,0.05,15.4
233,168480,-139.0,30.99,0.37,3,0.116602,0.05,14.2
234,169200,-253.0,25.24,2.21,1,0.116654,0.05,15.4
235,169920,-158.0,32.42,0.0,2,0.118642,0.05,14.0
236,170640,-163.0,35.13,0.0,0,0.11229,0.05,14.2
237,171360,-268.0,32.82,0.37,2,0.11815,0.05,15.4
238,172080,-158.0,29.93,0.0,1,0.116878,0.05,14.0
239,172800,-265.0,29.24,0.86,1,0.117153,0.05,15.5
